Impact social et économique;Que risque une personne qui utilise l'IA pour réaliser des tâches mentales simples ?;Un affaiblissement du cerveau;La personne saura se débrouiller;Plus d'autonomie;Une étude à montrée que laisser l'IA faire toutes nos tâches à notre place réduit grandement nos capacités cognitives.;A
Impact social et économique;L’intelligence artificielle est située à quelle place dans le classement des secteurs les plus énergivores au monde ? ;7;3;11;L'IA va devenir de plus en plus énergivore à mesure que le nombre d'utilisateurs augmentent. Cela pose une vraie problématique climatique. Les plus énergivores sont l'industrie, les transports les bâtiments.;C
Impact social et économique;Par combien a été multiplié le prix de certains composants informatique à cause de l’IA en 2025?;3;2;5;L'augmentation soudaine de la demande de certains composants tel que les microconducteurs augment leur prix. L'IA en est responsable.;A
Impact social et économique;Une question posée à ChatGPT consomme combien de fois plus qu’une recherche Google ?;2;10;4;Le nombre de données utilisés pour faire une recherche à l'aide de l'IA est bien plus important que pour une recherche google ce qui explique cette différence.;B
Impact social et économique;Quelle est la quantité de CO² rejetée pour 1 question posée à ChatGPT ?;1g;1,5g;2g;C'est environ 3x plus qu'une recherche google;C
Impact social et économique;Quels sont les impacts positifis de l'IA dans le domaine de la santé ?;Un diagnostic plus rapide;Moins de médecin;Plus de consommation d'énergie;Certains médecins s'en servent pour pouvoir prédire quel traitement sera le plus efficace;A
Impact social et économique;Lequel est un risque lié à l'utilisation de l'IA dans l'industrie ?;Plus d'essence;Suppression d'emplois;Moins de grèves;L'IA pourrait remplacer de nombreux métiers à l'avenir;B
Impact social et économique;Lequel est un risque lié à l'utilisation de l'IA dans les médias ?;La diffusion de fausses informations;Des articles moins complets;Des journalistes moins compétents;Les fausses informations étant de plus en plus crédibles en raison de la génération d'image par IA, la véracité des informations est de plus en plus remise en question.;A
Impact social et économique;Que risque une personne qui utilise l'IA pour demander des méthodes toutes faites pour résoudre un problème plutôt que de le comprendre réellement ?;Elle se repose;Un apprentissage plus efficace;Une perte de ses capacités d'apprentissage;A force de remplacer sa propre réflexion par l'utilisation de l'IA, les capacités cognitives de chacun vont être ammenées à diminuer.;C
Impact social et économique;Pourcentage des 18-64ans à avoir adoptés l'IA générative ?;environ 30%;environ 40%;environ 25%;;B
Impact social et économique;Peut-on s'aider de l'IA pour détecter des cancers ?;Non, trop dangereux;Oui, elle aide les médecins;Oui, elle le peut toute seule;Certains médecins s'en servent pour pouvoir prédire quel traitement sera le plus efficace;B
